age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
90,7,1033216,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033152,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033209,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033193,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033195,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033152,16,9,7,14,6,5,2,99993,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033204,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033212,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033213,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033211,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033212,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033203,16,9,7,14,6,5,2,99994,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033212,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033206,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033212,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033212,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033190,16,9,7,14,6,5,2,99995,1208,50,38
90,7,1033209,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033210,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033202,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033209,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033213,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033209,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033211,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033196,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033210,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033205,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033203,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033203,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033215,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033176,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033202,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033217,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033193,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033208,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033173,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033208,16,9,7,14,6,5,2,99995,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033212,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033214,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033211,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033208,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033213,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033211,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033202,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033220,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033201,16,9,7,14,6,5,2,99998,1208,50,38
90,7,1033221,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033211,16,9,7,14,6,5,2,99997,1208,50,38
90,7,1033216,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033183,16,9,7,14,6,5,2,99996,1208,50,38
90,7,1033222,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033219,16,9,7,14,6,5,2,99999,1208,50,38
90,7,1033218,16,9,7,14,6,5,2,99999,1208,50,38
