A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,1,0,1,2,2,2,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,1
0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,0
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,1,0,1,2,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,0
0,1,0,1,1,1,2,1,0,0,1,1,0,1,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,1,0,2,2,2,2,1,0,0,1,1,0,1,1,1
0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1
0,1,0,1,2,1,2,1,0,0,1,1,0,1,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1
0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1
0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,0
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
0,1,0,1,1,1,2,1,0,0,1,1,0,1,1,1
